(-86.6025, 50.0000)
(-80.8290, 46.6667)
(-75.0555, 43.3333)
(-69.2820, 40.0000)
(-63.5085, 36.6667)
(-57.7350, 33.3333)
(-51.9615, 30.0000)
(-46.1880, 26.6667)
(-40.4145, 23.3333)
(-34.6410, 20.0000)
(-28.8675, 16.6667)
(-23.0940, 13.3333)
(-17.3205, 10.0000)
(-11.5470, 6.6667)
(-5.7735, 3.3333)
(0.0000, 0.0000)
(5.7735, -3.3333)
(11.5470, -6.6667)
(17.3205, -10.0000)
(23.0940, -13.3333)
(28.8675, -16.6667)
(34.6410, -20.0000)
(40.4145, -23.3333)
(46.1880, -26.6667)
(51.9615, -30.0000)
(57.7350, -33.3333)
(63.5085, -36.6667)
(69.2820, -40.0000)
(75.0555, -43.3333)
(80.8290, -46.6667)
(86.6025, -50.0000)
