(150.0000, 0.0000)
(139.6552, 0.0000)
(129.3103, 0.0000)
(118.9655, 0.0000)
(108.6207, 0.0000)
(98.2759, 0.0000)
(87.9310, 0.0000)
(77.5862, 0.0000)
(67.2414, 0.0000)
(56.8966, 0.0000)
(46.5517, 0.0000)
(36.2069, 0.0000)
(25.8621, 0.0000)
(15.5172, 0.0000)
(5.1724, 0.0000)
(-5.1724, 0.0000)
(-15.5172, 0.0000)
(-25.8621, 0.0000)
(-36.2069, 0.0000)
(-46.5517, 0.0000)
(-56.8966, 0.0000)
(-67.2414, 0.0000)
(-77.5862, 0.0000)
(-87.9310, 0.0000)
(-98.2759, 0.0000)
(-108.6207, 0.0000)
(-118.9655, 0.0000)
(-129.3103, 0.0000)
(-139.6552, 0.0000)
(-150.0000, 0.0000)
